,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
1135,면목제4동,월계3동,127.0855775,37.5746736,127.0692485,37.6210475,면목제4동월계3동,6552,793.781,7600
1136,월계2동,논현1동,127.0508,37.6325377,127.028461,37.5115706,월계2동논현1동,20273,4547.973,24400
1137,공항동,철산3동,126.8101437,37.5588296,126.8724885,37.4771336,공항동철산3동,12578,2060.106,14130
1138,전농제2동,면목제3.8동,127.0600375,37.5781027,,,전농제2동면목제3.8동,0,0.0,0
1139,남영동,부암동,126.9748403,37.5457586,126.9641,37.5924785,남영동부암동,6497,1182.171,8100
1140,여의동,영등포본동,126.934584,37.5177232,126.9093046,37.5146826,여의동영등포본동,3072,532.507,4900
1141,고척제1동,흑석동,126.8628603,37.5004631,126.966612,37.5058617,고척제1동흑석동,12759,2773.093,16100
1142,성현동,신당제2동,126.9481271,37.4895366,,,성현동신당제2동,0,0.0,0
1143,논현1동,도곡2동,127.028461,37.5115706,127.0464338,37.4837425,논현1동도곡2동,4505,888.785,6100
1144,이문제3동,신당제3동,,,,,이문제3동신당제3동,0,0.0,0
1145,신월5동,공항동,126.8271621,37.5386227,126.8101437,37.5588296,신월5동공항동,2846,362.192,4600
1146,방화제2동,행신2동,126.8067549,37.5666997,126.8330498,37.6151731,방화제2동행신2동,7666,922.906,9190
1147,전농제1동,구의제3동,127.0477575,37.5779984,127.0920204,37.5380706,전농제1동구의제3동,8597,1997.512,10500
1148,신월5동,일원본동,126.8271621,37.5386227,127.0864633,37.4833484,신월5동일원본동,32100,4594.165,27700
1149,성내제3동,강일동,127.13287,37.5260101,127.173909,37.5649783,성내제3동강일동,11588,1277.057,11200
1150,가락1동,가양제2동,127.1098653,37.4964898,126.8512826,37.5673763,가락1동가양제2동,30009,3251.669,26000
1151,방화제1동,철산3동,126.817026,37.5703659,126.8724885,37.4771336,방화제1동철산3동,17142,3053.698,18710
1152,서림동,이화동,126.9349995,37.4749956,127.004338,37.577008,서림동이화동,17546,4035.613,21100
1153,상계10동,양재1동,127.060225,37.661274,127.026744,37.4716412,상계10동양재1동,27411,6072.306,34200
1154,양재1동,상계10동,127.026744,37.4716412,127.060225,37.661274,양재1동상계10동,31691,3233.016,28800
1155,도화동,용산2가동,126.9498798,37.5415123,126.9855777,37.5461327,도화동용산2가동,4246,1095.177,6500
1156,독산제2동,대방동,126.9034825,37.4631474,126.92635,37.508133,독산제2동대방동,7181,1667.724,9100
1157,우장산동,청룡동,126.8418849,37.5482468,126.9416518,37.4791304,우장산동청룡동,21852,3861.232,22000
1158,용산2가동,도화동,126.9855777,37.5461327,126.9498798,37.5415123,용산2가동도화동,6507,1156.002,7900
1159,신수동,신수동,126.9351878,37.5471182,126.9351878,37.5471182,신수동신수동,0,0.0,0
1160,중계4동,시흥제1동,127.0780091,37.6587275,126.9032625,37.4535411,중계4동시흥제1동,40150,6061.038,39050
1161,고덕제2동,범계동,127.16435,37.5605,126.9524664,37.3897742,고덕제2동범계동,38817,3858.035,39290
1162,신내1동,휘경제1동,127.099538,37.605882,127.065725,37.592932,신내1동휘경제1동,4428,1035.88,6800
1163,석관동,길음제2동,127.061413,37.612957,127.0273155,37.6066647,석관동길음제2동,4720,1130.227,7300
1164,상암동,개포4동,126.8946875,37.578325,127.0516374,37.4788183,상암동개포4동,25284,4209.328,26500
1165,방이1동,금호2.3가동,127.123925,37.510933,127.0209487,37.5532922,방이1동금호2.3가동,13093,2203.174,14300
1166,방배2동,사근동,126.9855106,37.4797439,127.0453315,37.5614846,방배2동사근동,15993,1946.979,14700
1167,월계2동,신사제1동,127.0508,37.6325377,126.9117735,37.5978445,월계2동신사제1동,18901,3462.633,20600
1168,명일제1동,면목제3.8동,127.1443656,37.5512453,,,명일제1동면목제3.8동,0,0.0,0
1169,불광제2동,오류제2동,126.9257389,37.6208567,126.8395371,37.4888016,불광제2동오류제2동,22747,4260.354,25400
1170,오류제1동,녹번동,126.845201,37.497009,126.9298245,37.6021944,오류제1동녹번동,19167,3681.68,22400
1171,역촌동,북가좌제2동,126.915114,37.6044046,126.9112,37.5815,역촌동북가좌제2동,3045,599.363,4800
1172,시흥제3동,한강로동,126.9057945,37.4403095,126.9692332,37.5281071,시흥제3동한강로동,15103,3433.008,19400
1173,장항2동,사당제5동,126.7783329,37.649886,126.9668658,37.4857521,장항2동사당제5동,32718,4190.487,33330
1174,신사동,수색동,127.0227814,37.5240101,126.8936659,37.5835192,신사동수색동,22336,2796.229,21300
1175,우장산동,명동,126.8418849,37.5482468,126.98585,37.560042,우장산동명동,21650,4817.03,24000
1176,신촌동,길동,126.9418114,37.5640923,127.1426791,37.5345598,신촌동길동,25533,3338.951,25500
1177,쌍문제2동,문래동,127.0389254,37.6579935,126.899466,37.517086,쌍문제2동문래동,29492,5063.29,29600
1178,신월1동,반포1동,126.831487,37.532808,127.0135073,37.5050895,신월1동반포1동,18919,3250.214,19600
1179,대방동,가산동,126.92635,37.508133,126.8917326,37.4769094,대방동가산동,5768,1412.485,8900
1180,화곡제8동,방화제1동,126.848335,37.5326541,126.817026,37.5703659,화곡제8동방화제1동,7687,1370.769,9200
1181,우이동,쌍문제1동,127.0118533,37.6479523,127.0261145,37.6480275,우이동쌍문제1동,2233,547.145,4100
1182,무악동,원효로제2동,126.958148,37.5760032,126.951538,37.53435,무악동원효로제2동,7177,1759.882,9700
1183,중계4동,대치2동,127.0780091,37.6587275,127.0642072,37.5022848,중계4동대치2동,25211,4981.413,27300
1184,홍제제3동,방화제1동,126.9496737,37.5938295,126.817026,37.5703659,홍제제3동방화제1동,17787,2722.648,17300
1185,성산제2동,주엽2동,126.9090061,37.568618,126.7604919,37.6741199,성산제2동주엽2동,23447,2046.371,23410
1186,구의제3동,필동,127.0920204,37.5380706,126.9955699,37.5601529,구의제3동필동,12906,2535.181,15100
1187,풍납2동,문정2동,127.1157686,37.5292584,127.1108107,37.489823,풍납2동문정2동,6888,1417.427,9000
1188,성현동,내곡동,126.9481271,37.4895366,127.0583103,37.4493583,성현동내곡동,16090,2320.486,18050
1189,장안제1동,성산제2동,127.066375,37.567842,126.9090061,37.568618,장안제1동성산제2동,21867,2991.127,20000
1190,상봉제1동,중계2.3동,127.0872004,37.5998799,127.0687126,37.6421829,상봉제1동중계2.3동,6905,1199.216,8400
1191,중림동,중앙동,126.9644863,37.5548629,126.9497133,37.4842598,중림동중앙동,10441,1980.213,12100
1192,필동,일산1동,126.9955699,37.5601529,126.7686386,37.6872246,필동일산1동,39150,3704.017,35550
1193,서초2동,은천동,127.02496,37.49208,126.9424278,37.4853086,서초2동은천동,9703,1577.308,10500
1194,돈암제1동,쌍문제4동,127.0263875,37.6034071,127.028425,37.656482,돈암제1동쌍문제4동,7025,1322.797,8700
1195,상계6.7동,가산동,127.0669541,37.654882,126.8917326,37.4769094,상계6.7동가산동,39658,6346.632,38910
1196,수색동,서림동,126.8936659,37.5835192,126.9349995,37.4749956,수색동서림동,19895,3444.664,22590
1197,공릉1.3동,장안제2동,127.073838,37.624874,127.0706,37.578483,공릉1.3동장안제2동,7202,1551.399,10300
1198,마장동,대치1동,127.045388,37.566325,127.0567047,37.4931821,마장동대치1동,11846,2577.435,14300
1199,화곡제6동,송천동,126.8501301,37.5518173,127.023838,37.618282,화곡제6동송천동,22583,3159.318,20800
